,Details,Superficie,Adresse,Prix,Image_lien-src
353,Station à vendre à yarakh,"20,000 m²",Sicap Sacré-cœur Dakar,1 500 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b497bddb76059d716fbfde6e9d763dcd/-/horizon-files-prod/ed/picture/qngpv7k9/fbfe6f0103089daf1cf3cb92c37c2a5863f0294e.jpg
354,TERRAIN DE 18.000 m2 CLÔTURÉ À VENDRE | POPENGUINE,"18,000 m²",Popenguine Thiès,290 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3a6abf0027a5a95e302d1bdd45c6ae00/-/horizon-files-prod/ed/picture/qq4298zv/562dd85fb3afc2b3089ed18876d6bc289716211c.jpg
355,Terrain à vendre,156 m²,Kounoune Dakar,20 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/67b87059e14c65f85c5e87537e1ccc5b/-/horizon-files-prod/ed/picture/q8v4kex0/11fd4215561879a8f2e7c5e79a9ec1e0924564f6.jpg
356,Terrain à vendre pied dans l’eau,"1,095 m²",Virage Dakar,985 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/455d6b0e58f6aa306da5f239ffbb35fb/-/horizon-files-prod/ed/picture/qde7040w/3704b5acbada557b7d576953f316403e285b18cb.jpg
357,Terrains à vendre à Niakoulrab - Titre foncier individuel,150 m²,Niakoul rap Dakar,20 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eaa53f21d44cfe0a866c9836e27cad32/-/horizon-files-prod/ed/picture/qv4w09w5/a180db34840175c362f9da6897291c8d3ca6f492.png
358,Opportunité à saisir,180 m²,Thiès Thiès,7 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5e29ab7627556bc6ee8dc29c834d7c7d/-/horizon-files-prod/ed/picture/qwepxkmz/599b387dc75dd84da1dc54c4ce56dd5e147251f8.jpg
359,TF à vendre à la Cité Maniang à Kounoune payable 24 mois,150 m²,Kounoune Dakar,14 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b7f426477772f62be0bcec590607c1a7/-/horizon-files-prod/ed/picture/q0g7k6xk/ac16ecd858f5ac9b4ba6dc5c669c32e9c4f9d33d.jpg
360,"Champs de 3,9 ha à vendre à Pout Tf individuel","39,000 m²",Grand-Dakar Dakar,15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2cb960aa4cec643ffde7c1071a5c5f01/-/horizon-files-prod/ed/picture/qxj24dgm/3f91ce50df3821d99506522bb9722f9e07172094.jpg
361,Terrain 150m2 keur massar,150 m²,Keur Massar Dakar,19 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5245cae7edbe8f795f81473c6407369/-/horizon-files-prod/ed/picture/q44np0ke/5432fe81e51d9f47b904b45fc52b59ed6b915e86.jpg
362,Terrain 150m2 a keur Massar,150 m²,Keur Massar Dakar,18 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1ff92e29e75e416d6db6b323b5ee085a/-/horizon-files-prod/ed/picture/qv4w58jg/5b2ad28065d1520bbe1a8569a830b8044675e1b1.jpg
363,Terrain à Vendre à Toubab Dialaw,300 m²,Toubab dialo Dakar,25 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9074f79a748fa23f56a0c910aeaa1c64/-/horizon-files-prod/ed/picture/q2j09g0d/d8a683fde36eeb723ccc43813e1c654a609e1530.jpg
364,Terrain à vendre à Ngaparou,"1,000 m²",Ngaparou Thiès,130 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f8f2f895b2a173a19ad26467672f3ff/-/horizon-files-prod/ed/picture/qpdmr654/3553c750a9fc27bd67e3c824bef3f274f229b53d.jpg
365,Terrains à vendre à kounoune,150 m²,Kounoune Dakar,15 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f733bec54bf4b31f07367f2258859e26/-/horizon-files-prod/ed/picture/qde7q47m/46c9f639dd7d862dba91f4a45542c78ebc1b6121.jpg
366,Terrain à vendre,150 m²,Keur Massar Dakar,17 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/62325e938fd5428e4bceb1046c0aa951/-/horizon-files-prod/ed/picture/qv4w0ejg/c34711374f391f609281bfd6d5ea64c7fd0adfca.jpg
367,Nguerigne Terrain à vendre,,Almadies Dakar,45 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/01bcf0e3c577204bd8cf0cf492e955d5/-/horizon-files-prod/ed/picture/qngpv2ex/c80cd89fd89971f08b074e7e29dd62f1ad6c1702.jpg
368,Hectare à vendre à Mboro,"10,000 m²",Mboro Thiès,2 750 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b872167be5e6262c6b394f00c4ba6080/-/horizon-files-prod/ed/picture/q6x60q7j/f1ee3f5218b133af861f4bbc9ac7d7e6e9106e64.jpg
369,Terrains à vendre,662 m²,Ndiakhirate Dakar,1 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f0a8fb5b11fa9410ae602ef17246d060/-/horizon-files-prod/ed/picture/qngpvwge/edeb8ef9250735e2eb541c643261b9d5a06b8210.jpg
