Details,Nombre_chambre,nombre_salle_bain,Superficie,Adresse,Prix,image_lien-src
Grand studio à louer par mois,1,2,150,Almadies Dakar,350000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9c04cb2e089ad8f2df4197e4dc9694ba/-/horizon-files-prod/ed/picture/qv4wk898/188c309615d0babc98631db51326521232c1a401.jpg
Appartement et studio à DIEUPEUL sur la route principal,2,3,178,Dieuppeul Dakar,450000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/65e7cb85720147e49b9e83732576df36/-/horizon-files-prod/ed/picture/qxjpx6v4/d0fd7705a0acf1035f6b86ba3b50c56e1f99a5e4.jpg
Studio neuf a Mermoz,1,1,100,Mermoz Dakar,200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3f69431b00e29b709842812ee1b11177/-/horizon-files-prod/ed/picture/q9mjw98v/294db0e6a2bbf930527b6e4acedb5c60b570bde8.jpg
Appartement neuf Mermoz,2,3,150,Mermoz Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c58c781896a0f764d7c0886dc16d2c1/-/horizon-files-prod/ed/picture/qgqwz999/5abb92de0f80d4ac0885a7192e96c630f0a24f8f.jpg
Joli appartement F5 avec piscine,4,5,180,Ngor Dakar,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f6428d83b06be3a43c5872d180320ac5/-/horizon-files-prod/ed/picture/qpdmgvep/59ca8178e6e245c4bf1a85ee5c6c067a3be13d5c.jpg
Appartement haut standing avec vue sur mer à sacré cœur,4,3,285,Sacré-cœur Dakar,1139600,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f65f8725056d6a8e0ae26db2e781454c/-/horizon-files-prod/ed/picture/qv4wxwwk/a51f17d3408fba07d18c16fbd3f8fa349599dc06.jpg
appartement f4 neuf au plateau,3,3,150,Plateau Dakar,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/58c35a570c132e7d77266c5724b08bd8/-/horizon-files-prod/ed/picture/qv4wxexj/a30e674afa5a17fe3083657698e5cf9f8eb2f600.jpg
Appartement à louer aux mamelles,2,2,70,Mamelles Dakar,350000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e8764df2e2fc6cf2a38b3fd8a7b2b4b7/-/horizon-files-prod/ed/picture/qenq0x7k/3ef0646bae30f9a86b8cce65d2ca43e2abed5354.jpg
Appartement F4 vide à louer aux Almadies,3,3,180,Almadies Dakar,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/256911fae12bc676da6b3fb82ddd2629/-/horizon-files-prod/ed/picture/q78w955d/8716e661949c80fa31260ec2b42d31f97480e424.jpg
Ref_2690_GL Penthouse neuf à louer aux Almadies,5,5,480,Almadies Dakar,4500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1df66af4f6277b76acce920543b76050/-/horizon-files-prod/ed/picture/qde7478g/4cab0b76940cca4dbc3f8242615a50f4f492615f.jpg
Studio neuf à louer sur la Vdn,1,2,55,VDN Dakar,275000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/08cc4919b14f0556b02b9c78258a8a6e/-/horizon-files-prod/ed/picture/q0g75kpx/46e9f83ff6f29d44352e271f0f9269bc2a9a8704.jpg
Ref_2620_GL F4 avec terrasse de haut standing à Sacré Cœur 1,3,3,150,Sacré-cœur Dakar,1200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6a231691edcba16bc5d5fdae01639bb4/-/horizon-files-prod/ed/picture/q9mj89vx/cbe8dbc41c72ccb6d0af561058c8d74e2ea58f4b.jpg
Grand appartement à louer à la keur gorgui,2,2,150,Sicap baobab Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f4bb9bcdde43a1989d4dbfc68c29604e/-/horizon-files-prod/ed/picture/q8v44w7z/fe779eba24854f14fe34c47adca34ec30e9deaee.jpg
